iter	Passed	Remaining
0	49	49386
1	50	25357
2	51	17270
3	53	13223
4	54	10810
5	55	9146
6	56	7963
7	56	7066
8	57	6369
9	58	5814
10	59	5368
11	60	5005
12	61	4688
13	62	4414
14	63	4178
15	64	3969
16	65	3786
17	66	3621
18	67	3477
19	68	3347
20	69	3231
21	70	3127
22	71	3034
23	72	2945
24	73	2862
25	74	2786
26	75	2715
27	76	2659
28	77	2599
29	78	2544
30	79	2491
31	80	2447
32	82	2410
33	83	2368
34	84	2325
35	85	2285
36	86	2247
37	87	2211
38	88	2178
39	89	2146
40	90	2115
41	91	2085
42	92	2057
43	93	2029
44	94	2004
45	95	1980
46	96	1958
47	97	1937
48	98	1915
49	99	1895
50	100	1876
51	102	1859
52	103	1840
53	104	1826
54	105	1810
55	106	1794
56	107	1777
57	108	1763
58	109	1747
59	110	1732
60	111	1717
61	112	1702
62	113	1687
63	114	1672
64	115	1659
65	116	1644
66	117	1629
67	117	1617
68	118	1602
69	119	1588
70	120	1575
71	121	1561
72	122	1549
73	122	1536
74	123	1526
75	124	1514
76	125	1502
77	126	1492
78	127	1481
79	127	1470
80	128	1461
81	129	1452
82	130	1437
83	130	1427
84	131	1417
85	132	1407
86	133	1397
87	133	1387
88	134	1378
89	135	1368
90	136	1358
91	137	1355
92	137	1344
93	138	1335
94	139	1326
95	139	1317
96	140	1308
97	141	1299
98	141	1289
99	142	1280
100	142	1271
101	143	1262
102	143	1253
103	144	1245
104	145	1236
105	145	1228
106	146	1219
107	146	1210
108	146	1201
109	147	1192
110	148	1185
111	148	1178
112	149	1169
113	149	1161
114	149	1153
115	150	1146
116	150	1137
117	151	1128
118	151	1120
119	151	1112
120	152	1104
121	152	1096
122	152	1089
123	153	1081
124	153	1074
125	153	1066
126	154	1058
127	154	1051
128	154	1045
129	155	1038
130	155	1031
131	155	1024
132	156	1017
133	156	1010
134	156	1003
135	156	997
136	157	990
137	157	983
138	157	977
139	158	971
140	158	964
141	158	957
142	158	951
143	159	945
144	159	939
145	159	933
146	159	927
147	160	921
148	160	915
149	160	910
150	160	904
151	161	898
152	161	892
153	161	887
154	161	881
155	161	876
156	162	870
157	162	865
158	162	860
159	162	855
160	163	849
161	163	844
162	163	840
163	163	835
164	164	830
165	164	825
166	164	820
167	164	815
168	164	811
169	165	806
170	165	802
171	165	797
172	165	793
173	166	788
174	166	784
175	166	780
176	166	776
177	167	772
178	167	768
179	167	764
180	167	760
181	168	756
182	168	752
183	168	748
184	168	744
185	169	740
186	169	736
187	169	732
188	169	728
189	170	724
190	170	721
191	170	717
192	170	714
193	171	710
194	171	706
195	171	703
196	171	700
197	171	696
198	172	693
199	172	689
200	172	686
201	172	683
202	173	679
203	173	676
204	173	673
205	173	670
206	174	666
207	174	663
208	174	660
209	174	657
210	175	654
211	175	651
212	175	648
213	175	645
214	175	642
215	176	639
216	176	636
217	176	633
218	176	630
219	177	628
220	177	625
221	177	622
222	177	619
223	178	616
224	178	614
225	178	611
226	178	608
227	178	606
228	179	603
229	179	600
230	179	598
231	179	595
232	180	592
233	180	590
234	180	587
235	180	585
236	181	582
237	181	580
238	181	577
239	181	575
240	181	572
241	182	570
242	182	568
243	182	565
244	182	563
245	183	561
246	183	558
247	183	556
248	183	554
249	184	552
250	184	549
251	184	547
252	184	545
253	185	543
254	185	541
255	185	539
256	185	537
257	186	534
258	186	532
259	186	530
260	186	528
261	186	526
262	187	524
263	187	522
264	187	520
265	187	518
266	188	516
267	188	514
268	188	512
269	188	510
270	189	508
271	189	506
272	189	505
273	189	503
274	190	501
275	190	499
276	190	497
277	190	495
278	191	493
279	191	491
280	191	490
281	191	488
282	191	486
283	192	484
284	192	482
285	192	481
286	192	479
287	193	477
288	193	475
289	193	473
290	193	472
291	194	470
292	194	468
293	194	467
294	194	465
295	194	463
296	195	461
297	195	460
298	195	458
299	195	457
300	196	455
301	196	453
302	196	452
303	196	450
304	197	448
305	197	447
306	197	445
307	197	444
308	197	442
309	198	441
310	198	439
311	198	437
312	198	436
313	199	434
314	199	433
315	199	431
316	199	430
317	200	428
318	200	427
319	200	426
320	200	424
321	201	423
322	201	421
323	201	420
324	201	418
325	201	417
326	202	416
327	202	414
328	202	413
329	202	411
330	203	410
331	203	408
332	203	407
333	203	406
334	203	404
335	204	403
336	204	402
337	204	400
338	204	399
339	205	398
340	205	396
341	205	395
342	205	394
343	205	392
344	206	391
345	206	390
346	206	388
347	206	387
348	207	386
349	207	385
350	207	383
351	207	382
352	208	381
353	208	380
354	208	378
355	208	377
356	208	376
357	209	375
358	209	373
359	209	372
360	209	371
361	210	370
362	210	369
363	210	368
364	210	366
